Slika,Originalna velicina (MB),Kompresovana velicina (MB),Procenat umanjenja (%)
slika1.jpg,1.212,0.289,76.1
slika2.jpg,0.344,0.092,73.4
slika3.png,0.593,0.013,97.8
slika4.png,0.03,0.002,92.9
slika5.jpg,0.102,0.017,83.7
slika6.jpg,0.093,0.022,76.9
slika7.jpg,0.247,0.042,82.9
slika8.jpg,1.297,0.196,84.9
slika9.jpg,0.036,0.007,80.0
slika10.jpg,0.092,0.019,79.2
slika11.gif,0.955,0.003,99.7
slika12.gif,1.412,0.089,93.7
slika13.jpg,0.06,0.014,76.7
slika14.jpg,1.273,0.093,92.7
slika15.jpeg,0.127,0.021,83.4
